#name,chromosome,start,end,x1,y1,x2,y2
csu1103 ,Chr2,145.10,145.10,137,1531,179,1539
amy3 ,Chr2,136.80,136.80,137,1448,167,1458
umc112a ,Chr2,111.70,111.70,137,1197,182,1205
bcd1087a ,Chr2,124.20,124.20,137,1322,185,1330
csu348a ,Chr2,47.70,47.70,137,557,178,565
csu304a ,Chr2,174.80,174.80,137,1828,178,1836
csu281b ,Chr2,117.60,117.60,137,1256,179,1264
eks1 ,Chr2,30.50,30.50,137,385,163,393
bnl6.20 ,Chr2,154.30,154.30,137,1623,175,1631
csu1060 ,Chr2,92.90,92.90,142,1009,184,1017
cent2 ,Chr2,93.00,93.00,137,1010,168,1018
csu635 ,Chr2,147.10,147.10,157,1551,194,1559
umc36a ,Chr2,189.20,189.20,137,1972,177,1980
csu821 ,Chr2,69.00,69.00,137,770,174,778
php20581b(tb) (CBM 2.1) ,Chr2,200.20,200.20,137,2082,248,2092
csu143 ,Chr2,93.00,93.00,142,1010,178,1018
csu747a(arf) ,Chr2,120.20,120.20,137,1281,196,1290
csu348b ,Chr2,73.60,73.60,137,816,178,824
uky1(P450) ,Chr2,126.90,126.90,137,1349,190,1359
umc5a (CBM 2.07) ,Chr2,133.80,133.80,142,1417,224,1426
csu735(geb) ,Chr2,74.00,74.00,137,820,195,830
rgpg99 ,Chr2,151.60,151.60,147,1596,183,1606
npi208c ,Chr2,54.60,54.60,137,626,177,636
umc29b ,Chr2,133.80,133.80,152,1418,192,1426
pur1 ,Chr2,167.30,167.30,137,1753,163,1763
csu761 ,Chr2,62.20,62.20,137,702,174,710
csu300a ,Chr2,11.40,11.40,137,194,178,202
betl1 ,Chr2,173.80,173.80,142,1818,170,1826
csu154a(eif5A) ,Chr2,149.20,149.20,142,1571,210,1580
umc8b ,Chr2,81.10,81.10,137,891,172,899
csu1148 ,Chr2,19.50,19.50,137,275,178,283
csu1113 ,Chr2,43.70,43.70,137,517,179,525
csu909 ,Chr2,156.80,156.80,137,1648,174,1656
csu498 ,Chr2,58.20,58.20,142,662,178,670
agrc39b ,Chr2,180.00,180.00,137,1880,177,1890
fco1a(pex) ,Chr2,181.00,181.00,137,1890,188,1900
csu622 ,Chr2,180.00,180.00,147,1880,184,1888
csu1058 ,Chr2,50.60,50.60,142,586,184,594
csu2a ,Chr2,99.40,99.40,137,1074,168,1082
csu671a ,Chr2,94.50,94.50,142,1025,183,1033
rgpc643c ,Chr2,158.40,158.40,147,1664,192,1674
umc135 ,Chr2,75.20,75.20,137,832,177,840
csu1097b ,Chr2,158.40,158.40,142,1664,189,1672
cdo524 ,Chr2,17.40,17.40,142,254,179,262
umc4a ,Chr2,149.20,149.20,137,1572,171,1580
