#name,chromosome,start,end,x1,y1,x2,y2
umc162a ,Chr1,80.50,80.50,150,885,208,895
glu1 ,Chr1,57.90,57.90,135,659,167,671
asg50d ,Chr1,120.20,120.20,135,1282,183,1294
amo1 ,Chr1,67.60,67.60,140,756,179,766
umc44a (CBM 10.06) ,Chr1,97.70,97.70,135,1056,256,1067
csu333 ,Chr1,69.70,69.70,150,777,197,787
csu136(plt) ,Chr1,15.70,15.70,135,237,204,249
klp1f ,Chr1,110.20,110.20,140,1182,175,1194
csu1042 ,Chr1,16.60,16.60,135,246,189,256
umc130 (CBM 10.03) ,Chr1,50.70,50.70,135,586,256,597
asg76a ,Chr1,59.00,59.00,135,670,183,682
npi105a ,Chr1,54.70,54.70,135,627,187,639
cr4 ,Chr1,29.10,29.10,135,371,161,381
csu48 ,Chr1,134.40,134.40,135,1424,176,1434
csu1054 ,Chr1,49.10,49.10,135,571,189,581
umc57a ,Chr1,99.00,99.00,135,1070,187,1080
rz740(sam) ,Chr1,79.40,79.40,140,873,210,884
r1 ,Chr1,101.10,101.10,135,1091,155,1101
php06005 ,Chr1,57.90,57.90,140,659,203,671
gln1 ,Chr1,122.10,122.10,135,1301,167,1313
orp2 ,Chr1,61.00,61.00,135,690,168,702
rz400(gbp) ,Chr1,38.00,38.00,135,460,202,472
bnl3.04 ,Chr1,7.20,7.20,135,152,184,162
csu1028(lhcb) ,Chr1,116.60,116.60,135,1245,219,1256
csu745a(rpPo) ,Chr1,87.60,87.60,135,956,221,968
ufg8(grf) ,Chr1,76.70,76.70,135,847,191,859
umc261 ,Chr1,72.50,72.50,135,805,186,815
csu745c(rpPo) ,Chr1,57.90,57.90,150,659,236,671
bnl10.13a ,Chr1,99.60,99.60,135,1076,197,1086
csu86 ,Chr1,75.90,75.90,140,839,180,849
umc64a (CBM 10.04) ,Chr1,61.00,61.00,140,689,261,700
csu951(eno) ,Chr1,62.00,62.00,140,699,216,710
csu577 ,Chr1,23.00,23.00,135,310,183,320
csu815 ,Chr1,61.90,61.90,135,699,182,709
mir3c(thp) ,Chr1,120.20,120.20,140,1282,205,1294
rgpc285 ,Chr1,115.20,115.20,135,1232,187,1244
csu46a ,Chr1,66.20,66.20,135,742,182,752
ksu2 ,Chr1,18.60,18.60,135,266,168,276
rz261a(sad) ,Chr1,58.30,58.30,145,662,217,673
csu276 ,Chr1,64.20,64.20,135,722,182,732
umc232 ,Chr1,122.10,122.10,140,1301,191,1311
gcsh1 ,Chr1,56.80,56.80,150,648,190,660
grf2 ,Chr1,76.90,76.90,140,849,170,861
gdcp1 ,Chr1,29.10,29.10,140,371,181,383
cdo244a(crp) ,Chr1,114.10,114.10,140,1221,220,1233
mpik41c(mem1) ,Chr1,54.70,54.70,140,627,237,639
csu625 ,Chr1,50.70,50.70,140,587,187,597
cent10 ,Chr1,58.00,58.00,135,660,180,670
npi285a(cac) (CBM 10.02) ,Chr1,24.80,24.80,135,328,282,340
csu359(alp) ,Chr1,23.30,23.30,145,313,217,325
csu561b ,Chr1,47.10,47.10,135,551,189,561
agrr62a ,Chr1,61.00,61.00,150,690,200,702
php20075a(gast) (CBM 10.01) ,Chr1,7.20,7.20,140,152,310,164
csu981(eif5A) ,Chr1,75.90,75.90,145,838,228,849
ksu5 ,Chr1,30.10,30.10,135,381,169,391
bnl17.02 ,Chr1,101.10,101.10,140,1091,195,1101
dba3 ,Chr1,134.40,134.40,140,1424,175,1434
nac1 ,Chr1,63.00,63.00,135,710,169,720
csu613(acb) ,Chr1,65.20,65.20,135,731,209,742
csu234b(gbp) ,Chr1,56.80,56.80,140,648,222,660
rgpc1122d(rpL15) ,Chr1,58.30,58.30,140,663,244,675
rgpc496c(adh) ,Chr1,59.30,59.30,145,673,231,685
csu571b(ipp) ,Chr1,133.30,133.30,140,1413,219,1425
tda205 ,Chr1,69.70,69.70,140,777,186,787
umc146 ,Chr1,75.90,75.90,135,839,187,849
umc18b(psaN) ,Chr1,56.80,56.80,135,648,222,660
csu1050 ,Chr1,57.90,57.90,145,659,199,669
cdo1395b ,Chr1,63.00,63.00,140,710,202,720
csu1039 ,Chr1,116.30,116.30,135,1243,189,1253
npi290a ,Chr1,110.20,110.20,135,1182,186,1194
umc259a (CBM 10.05) ,Chr1,80.50,80.50,145,884,273,895
umc163a ,Chr1,80.50,80.50,135,885,193,895
umc159b ,Chr1,77.80,77.80,135,858,194,868
cdo127b(pyk) ,Chr1,23.30,23.30,140,313,222,325
fgp1 ,Chr1,61.90,61.90,140,699,173,711
agrc714 ,Chr1,36.30,36.30,135,443,187,455
csu237a(psaN) ,Chr1,56.80,56.80,145,648,233,660
tda217a ,Chr1,43.50,43.50,135,515,187,525
umc243a ,Chr1,61.00,61.00,145,690,203,700
bcd386b ,Chr1,94.20,94.20,135,1022,190,1032
eoh1 ,Chr1,59.30,59.30,140,673,175,683
csu893(isp) ,Chr1,69.70,69.70,155,777,226,789
mgs1 ,Chr1,69.70,69.70,135,777,173,789
csu298b ,Chr1,67.60,67.60,135,756,188,766
Chr1,Chr1,0.00,134.40,120,80,130,1424
csu781a ,Chr1,133.30,133.30,145,1413,199,1423
csu913 ,Chr1,61.90,61.90,145,699,192,709
rgpr1908b(acb) ,Chr1,65.20,65.20,140,732,231,744
csu250a(aba) ,Chr1,36.30,36.30,140,442,221,453
sam1 ,Chr1,80.50,80.50,140,885,178,895
php20646 ,Chr1,59.90,59.90,140,679,202,691
csu844 ,Chr1,126.30,126.30,135,1343,183,1353
asg2 ,Chr1,72.00,72.00,135,800,169,812
rz590b ,Chr1,117.40,117.40,135,1254,181,1264
csu671b ,Chr1,69.40,69.40,140,774,194,784
bnl10.17a ,Chr1,0.00,0.00,135,80,197,90
csu948 ,Chr1,72.10,72.10,140,801,187,811
ufg3b(ivr) ,Chr1,89.80,89.80,135,978,196,990
agrc561 ,Chr1,14.20,14.20,135,222,187,234
rgpr440c(gap) ,Chr1,58.40,58.40,150,664,235,676
gpa2 ,Chr1,75.90,75.90,150,839,185,851
csu898 ,Chr1,63.00,63.00,145,710,192,720
csu797(uce) ,Chr1,62.00,62.00,135,699,210,710
npi232a ,Chr1,83.40,83.40,135,914,186,926
psu1b(spe) ,Chr1,69.70,69.70,145,777,214,789
ksu1e ,Chr1,7.20,7.20,145,152,186,162
ksu3 ,Chr1,18.60,18.60,140,266,174,276
std4(dba) ,Chr1,79.40,79.40,135,873,195,884
bcd147(gbp) ,Chr1,60.40,60.40,135,684,212,696
ksu1f ,Chr1,10.30,10.30,135,183,173,193
csu599b ,Chr1,61.00,61.00,155,690,209,700
csu306a(fer) ,Chr1,0.00,0.00,140,79,217,90
csu929(his3) ,Chr1,61.90,61.90,150,698,227,709
bnl7.49a(hmd) (CBM 10.07) ,Chr1,114.10,114.10,135,1220,293,1231
csu213b ,Chr1,59.70,59.70,135,677,188,687
csu300b ,Chr1,123.10,123.10,135,1311,189,1321
csu615b ,Chr1,104.00,104.00,140,1120,194,1130
umc269(ptk) ,Chr1,133.20,133.20,135,1412,212,1424
npi294h ,Chr1,73.50,73.50,135,815,187,827
cdo1417b(ptk) ,Chr1,104.00,104.00,135,1120,222,1132
csu864 ,Chr1,69.40,69.40,135,774,182,784
