#name,chromosome,start,end,x1,y1,x2,y2
bronze1,ZmChr9,90.10,90.10,905,247,962,257
,ZmChr10,191.40,191.40,988,303,997,303
ZmChr9,ZmChr9,-54.00,692,900,127,905,500
waxy1,ZmChr9,191.70,191.70,905,298,954,310
ZmChr6,ZmChr6,-136,683.13,630,86,635,495
ZmChr3,ZmChr3,-40.20,986.00,360,134,365,647
lg1,ZmChr2,46.98,46.98,275,228,305,240
ZmChr7,ZmChr7,-43.20,684.30,720,133,725,496
tb1,ZmChr1,882.70,882.70,185,598,217,608
ZmChr4,ZmChr4,-149.20,804.83,450,80,455,557
ZmChr2,ZmChr2,-47.6,761.30,270,130,275,534
tie-dyed1,ZmChr6,536.50,536.50,635,429,700,441
ZmChr8,ZmChr8,-43.20,895.00,810,133,815,602
ZmChr10,ZmChr10,-43,740,990,133,995,524
ZmChr5,ZmChr5,-43.40,696.00,540,132,545,501
ZmChr1,ZmChr1,-144,1310.63,180,82,185,809
