#name,chromosome,start,end,x1,y1,x2,y2
csu1084 ,Chr1,247.10,247.10,167,80,208,88
csu1154 ,Chr1,247.10,247.10,177,80,218,88
csu1114 ,Chr1,248.30,248.30,182,80,223,88
csu865(phb) ,Chr1,245.20,245.20,142,80,200,90
csu1089 ,Chr1,245.20,245.20,137,80,179,88
Chr1,Chr1,0.00,249.20,120,80,130,80
npi294i ,Chr1,247.10,247.10,162,80,199,90
acp4 ,Chr1,247.10,247.10,157,80,184,90
csu1146 ,Chr1,247.10,247.10,172,80,213,88
rgpr3239a ,Chr1,245.20,245.20,147,80,196,90
csu1193 ,Chr1,249.20,249.20,187,80,229,88
rz614(fdx) ,Chr1,245.20,245.20,152,79,201,88
